item,unit2,unit2_price
5 PCS WATER SET JUG AND GLASS(SMP),PACK,"1,100.00"
5 WAYS CREAM  200ML,JAR,680
501 BRANDY DE JEREZ WINE 1L,BOTTLE,"1,100.00"
501 BRANDY WINE 20CL,BOTTLE,345
501 WINE 750ML,BOTTLE,"1,615.00"
55H+ LOTION (PARIS),JAR,"2,850.00"
55H+ LOTION (PARIS) [U.S.A] ,BOTTLE,"3,010.00"
5WAYS BEAUTY CARE FADE CREAM 476G,JAR,720
6 PCS DINNER SET ADALIA(SUMO),PACK,"1,300.00"
6 PCS GLASSWARE(EXQUISTE ARTICLE SERIES) (KAIDA)  [CHAIN]  [PACK] ,PACK,800
6 PCS IMPERIAL GLASS CUP(OCEAN),PACK,"2,600.00"
6 PCS SET OF POT(SUMO) S-7009,PACK,"6,600.00"
6 PCS STAINLESS STEEL (HOPFFNER),PACK,"4,600.00"
6 PCS TUMBLER CHARISMA (OCEAN),PACK,"1,500.00"
6 SETS TEA CUP & SAUCER (HANA 280CC),PACK,"1,800.00"
62 PCS EDUCATIONAL BLOCK,PACK,900
7 DAYS & 7 NIGHT FACIAL CREAM,TIN,200
7 KEYS MIXTURE X 24 SYR 200ML,BOTTLE,720
7 KEYS ONANDO SYR 200ML,BOTTLE,280
7 PCS CUTLERY SET (COFFRET DE BOUCHER),PACK,"1,100.00"
7 PCS DRINKING SET(HANA),PACK,"2,700.00"
7 PCS GLASSWARE GOLD,PACK,"2,245.00"
7 PIECE KNIFE SET (KINELCO),PACK,"2,600.00"
7 PIECE KNIFE SET WITH TIMBER (GIFT KING),PACK,"3,100.00"
75 PCS EDUCATIONAL BLOCK,PACK,"3,150.00"
78 PCS EDUCATIONAL BLOCK,PACK,"20,225.00"
7UP DRINK  50CL,JAR,110
8 HOT DOGS 400G/184G,TIN,240
8 PCS  HOFFNER POT,PACK,"8,600.00"
8 PCS DINNER SET (CRANBERRY),PACK,"1,600.00"
9 11 LEAVE-IN CONTITIONER X 1,BOTTLE,990
9 TO 9 PERFUME X 1,BOTTLE,995
A & SHINE HONEY  1KG X 1,JAR,22
A&D MEDICAL B.P MACHINE X 1,PACK,"24,000.00"
A&D MEDICAL WRIST B.P MACHINE X 1,PACK,"14,500.00"
A- ZED CAPS  X 20,FULL PACK,195
A.M./P.M. LOTION 500ML X 1,BOTTLE,"2,495.00"
A.M.P.M PRICKLY HEAT POWDER 150G,JAR,250
A3  CREAM PINK TRIPPLE ACTION FADE 500ML,JAR,"1,860.00"
A3 SOAP(TRIPPLE ACTION) 100G,PACK,295
AB-MULTI-CHLOR WATER PURIFICATION TABS 75MG X 100,FULL PACK,"1,400.00"
ABC & 123 FUN LEARN,PACK,"1,400.00"
ABF-3 CREAM  20G,TUBE,350
ABIDEC DROPS  25ML,BOTTLE,"1,205.00"
ABIDEC SYR  150ML [UK] ,BOTTLE,"3,025.00"
ABONIKI BALM  100MG,BOTTLE,250
ABONIKI INHALER X 1,PACK,170
ABOVE OIL SHEEN,CAN,625
ABRAAJ VALOUR SPRAY 200ML,CAN,600
ABRAJI OUD PERFUME X 1,PACK,"7,000.00"
ABRO SCENT AIRFRESHNER 42G,TIN,715
AC ACILLINN SYR 5/60ML,BOTTLE,65
AC-CLOX SUSP 250MG/5ML 60ML,BOTTLE,0
ACANA ROSE $ GLYCERING SOAP,PACK,195
ACCU-CHECK LANCET X 100  ,PACK,570
ACCU-CHECK LANCET X 200,PACK,"1,300.00"
ACCU-CHEK (ACTIVE MACHINE)  ,PACK,"10,500.00"
ACCU-CHEK (ACTIVE STRIP)  ,PACK,"6,600.00"
ACCU-CHEK (INSTANT MACHINE)   X 1,PACK,"8,000.00"
ACCU-CHEK (INSTANT STRIP)   X 1,PACK,"6,700.00"
ACECLOFENAC (MULTICOY) TABS  X 100,FULL PACK,920
ACEL PLUS TABS 100/325MG X 10,PACK,305
ACEL TABS 100MG X 10,PACK,190
ACEPOL SUSP 100ML X 1,BOTTLE,195
ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 30,FULL PACK,"1,450.00"
ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 500,FULL PACK,"16,000.00"
ACIGUARD SUSP 200ML,BOTTLE,400
ACIPEP SUSP 200ML,BOTTLE,750
ACIPRO TABS 500MG X 10,PACK,300
ACIRAB TABS 20MG X 10,PACK,350
ACNEAWAY CREAM  20G,TUBE,360
ACOFENAC TABS  X 100,FULL PACK,600
ACRYLIC TUMBLER 6 PCS,PACK,"5,505.00"
ACTIFED SYR  60ML,BOTTLE,700
ACTIFED TABS  X 12,PACK,760
ACTIFLU SYR  50ML,BOTTLE,330
ACTIPATCH ALLAY MENSTRAL PAIN  ,PACK,"2,550.00"
ACTIPATCH BACK PAIN  ,PACK,"2,550.00"
ACTIPATCH KNEE PAIN  ,PACK,"2,550.00"
ACTIPATCH MUSCLE & JOINT PAIN  ,PACK,"2,550.00"
ACTIVATED VEG CHARCOAL(MASON) CAPS 520MG X 60,JAR,"2,500.00"
ACTIVE MAN BODY SPRAY 200ML,CAN,660
ACTIVE MAN PERFUME 100ML X 1,BOTTLE,"2,380.00"
ACTIVE WOMAN BODY SPRAY 200ML,CAN,705
ACTIVE WOMAN PERFUME 80ML X 1,BOTTLE,"2,330.00"
ACTIVODYN CAPS  X 30,FULL PACK,290
ACTRAPID INJ 100IU 10ML,VIALS,"3,950.00"
ACTRAPID INJ 40IU 10ML,VIALS,"2,365.00"
ACYCOR PLUS TABS  X 10,PACK,280
ACYCOR TABS 100MG X 10,PACK,235
ADALAT LA TABS 30MG X 30,FULL PACK,"4,650.00"
ADALAT LA TABS 60MG X 30,FULL PACK,"8,435.00"
ADAMS DESIRE CAPS  X 60,JAR,"7,300.00"
ADAMS DESIRE TABS  X 15,PACK,"1,765.00"
ADAMS DESIRE TABS  X 30,JAR,"5,200.00"
ADAY KIT TABS  X 4,PACK,900
ADDYZOA CAPS  X 20,PACK,"2,645.00"
ADIDAS PERFUME 100ML X 1,BOTTLE,"1,575.00"
ADIDAS SPRAY X 1,SPRAY BOTTLE,890
ADMICIN TABS 500MG X 10,PACK,320
ADRENALINE (EPINEPHRINE) INJ 10MG X 10,AMPOULES,60
ADRENALINE (UNBRANDED)  INJ ,AMPOULES,145
ADRIDE TABS 2MG X 30,FULL PACK,565
ADULT DIAPERS X 1,PACK,"2,475.00"
ADVANT TABS 16MG X 28,FULL PACK,"2,700.00"
ADVANT TABS 8MG X 14,FULL PACK,"1,250.00"
ADVANTAN CREAM  15G,TUBE,"1,280.00"
ADVANTEC  16MG/12.5MG X 28,FULL PACK,"3,150.00"
ADVENTURE SPORTS PERFUME X 1,PACK,"2,000.00"
AEROLIN INHALER X 1,PACK,"1,070.00"
AFC ORIGINAL CALCIUM BISCUIT 100G,PACK,310
AFC ORIGINAL CALCIUM BISCUIT 250G,PACK,510
AFC ORIGINAL CALCIUM BISCUIT 600G,PACK,345
AFRABVITE DROPS 15ML,BOTTLE,215
AFRABVITE SYR 100ML X 1,BOTTLE,255
AFRE SHOE SPRAY(BLACK) X 1,SPRAY CAN,383.33
AFRE SHOE SPRAY(NEUTRAL) X 1,SPRAY CAN,383.33
AFRICLO COD LIVER OIL CAPS 1000MG X 30,FULL PACK,450
AFRICURE COD LIVER CAPS 1000MG X 30,PACK,450
AFTER 5 POWDER  X 120,FULL PACK,"4,500.00"
AGISEPT LOZENGES X 1,PACK,415
AGNESIA  DUSTING  POWDER  300G,TIN,"1,780.00"
AGNESIA  DUSTING POWDER 100G,TIN,"1,095.00"
AGNESIA BABY SOAP 90G,PACK,180
AIR WICK  SPRAY 226G,TIN,765
AIR WICK AUTHOMATIC  REFIL 250ML,PACK,"1,050.00"
AIR WICK AUTHORMATIC SPRAY  MACHINE 250ML,PACK,"3,340.00"
AIR WICK DRUMMER,PCS,140
AIR WICK GEL X 6,PACK,205
AKINETON INJ 5MG 1ML,FULL PACK,"4,700.00"
AKOBAL-G TABS  X 10,PACK,900
AL-FARES PERFUME 50ML X 1,BOTTLE,175
AL-FARES ROLL ON 15ML X 1,BOTTLE,365
ALABUKUN POWDER 2G X 100,FULL PACK,890
ALBEN G TABS 200MG,PACK,30
ALBENDAZOLE X 1 TABS 400MG,PACK,35
ALCOHOL SWAB X 1,PACK,500
ALDACTONE TABS 25MG X 100,FULL PACK,"6,105.00"
ALDACTONE TABS 25MG X 20,FULL PACK,"1,800.00"
ALDOCURE TABS 250MG X 100,FULL PACK,"1,950.00"
ALDOMET (PARALLEL)  TABS  X 100,FULL PACK,"4,500.00"
ALDOMET TABS 250MG X 60 [ENGLAND] ,FULL PACK,"2,400.00"
ALEEVE CAPS  X 24,PACK,"2,600.00"
ALEFER QS TABS 80/480MG X 6,PACK,400
ALENDROIC ACID TABS  X 28,FULL PACK,900
ALEOMIN MULTIVITAMIN CAPS X 30,PACK,330
ALGAFEN(EVANS BAROQUE) TABS 200MG X 100,FULL PACK,960
ALIVE MAX CAPS  X 90,JAR,"4,200.00"
ALIVE MEN'S 50+ TABS  X 60,PACK,"3,150.00"
ALKALINE BATTERY X 1,PACK,565
ALL CLEAR COMP SOAP X 12,PACK,225
ALL CLEAR EVEN TONE   LOTION 400ML,JAR,"1,575.00"
ALL CLEAR HAIR REMOVAL 100ML X 1,BOTTLE,755
ALL CLEAR OIL CONTROL POWDER 100G,JAR,245
ALL DAY ROLL ON X 6,BOTTLE,380
ALL PURPOSE BASIN,PACK,"1,705.00"
ALLEREX EYE DROPS  XML,BOTTLE,865
ALLERGIN SYR 60ML,BOTTLE,230
ALLGLOBIN CAPS  X 30,FULL PACK,"1,350.00"
ALLOPURINOL TABS 100MG X 28 [ENGLAND] ,FULL PACK,990
ALLOPURINOL TABS 300MG X 28 [ENGLAND] ,FULL PACK,"1,335.00"
ALLUPORINOL TABS 300MG X 28 {TEVA} ,FULL PACK,"1,350.00"
ALMAYVITE X 30 CAPS ,PACK,140
ALOE VERA DRINK 250ML X 24,TIN,210
ALOE VERA GEL 680G LOTION,BOTTLE,"8,000.00"
ALOE-COD CAPS 1000MG X 30,FULL PACK,900
ALOE-COD CAPS 300MG X 30,FULL PACK,450
ALOEDERM CREAM TUBE 25G,TUBE,215
ALOMIDE EYE DROPS 0.1% 10ML,BOTTLE,"1,625.00"
ALOMIN X 30 CAPS ,PACK,145
ALOMO BITTERS 750ML,BOTTLE,995
ALPHA LIPIOC ACID(SUNDOWN 600MG   X 1,BOTTLE,"2,600.00"
ALPHA-APETI TABS  X 30,FULL PACK,"1,800.00"
ALPHA-CIPRO INFUSION 100ML X 1,BOTTLE,120
ALPHABETIC CAPS  X 30,JAR,"3,600.00"
ALPHAGAN EYE DROPS 5ML,BOTTLE,"2,700.00"
ALPHAGOMED B.P MONITOR X 1,PACK,"8,000.00"
ALPHAGYL INFUSION 200MG 100ML,BOTTLE,72
ALPHAMET(METHYLDOPA) TABS 250MG X 100,FULL PACK,"1,605.00"
ALPHAQUINE TABS 300MG X 100,FULL PACK,"4,700.00"
ALPHATEN EYE DROPS X 1,PACK,2
ALTACEF TABS 250MG X 10,PACK,745
ALTACEF TABS 500MG X 10,PACK,690
ALTADON-2 TABS 2MG X 30,FULL PACK,"1,600.00"
ALTARGO 1%  ,TUBE,"1,895.00"
ALWAYS PAD   X 3,PACK,125
ALWAYS ULTRA PAD (VALUE PACK),PACK,500
ALWAYS ULTRA PAD SINGLE X 1,PACK,365
AM-PM POWDER X 1,BOTTLE,115
AM:PM FADE CREAM X 1,JAR,22
AMALAR PLUS TABS  X 150,FULL PACK,"2,375.00"
AMALAR TABS  X 50,FULL PACK,"13,250.00"
AMARULA FRUIT CREAM WINE 750ML,BOTTLE,"1,185.00"
AMARYL TABS 1MG X 30,FULL PACK,"1,675.00"
AMARYL TABS 2MG X 30,FULL PACK,"3,400.00"
AMARYL TABS 4MG X 30,FULL PACK,"5,535.00"
AMATEM FORT TABS 80MG/480MG X 6,PACK,930
AMATEM SOFT GEL CAPS  X 6,PACK,"1,300.00"
AMATEM SOFTGEL 20/120 X 12,PACK,500
AMATEM SOFTGEL 20/120 X 18,PACK,600
AMATEM SOFTGEL 20/120 X 24,PACK,800
AMATEM SUSP  60ML,BOTTLE,690
AMATEM TABS 20MG/120MG X 24,PACK,455
AMBI PUR  CAR,PCS,895
AMBI PUR  SPRAY300ML,TIN,445
AMCARD TABS 10MG X 30,FULL PACK,570
AMCARD TABS 5MG X 30,FULL PACK,470
AMEDIN TABS 10MG X 28,BLISTER,200
AMI WHITE SERUN 30ML X 1,BOTTLE,"1,405.00"
AMIDREX  2MG TAB X 30,FULL PACK,"1,700.00"
AMIDREX X 30 TABS 1MG,PACK,"1,430.00"
AMIKACIN SULFATE INJ 500MG X 1,PACK,650
AMINO (N/F)  TABS 6000MG X 90,JAR,"5,550.00"
AMINO ACID (LIFE WORTH)  CAPS 6000MG,JAR,"7,520.00"
AMINO ACID (MASON)  CAPS 6000MG X 60,JAR,"2,680.00"
AMINO ACIDS (MASON NATURAL)  TABS 700MG X 90,JAR,"2,650.00"
AMINO ACIDS (MASON.)  TABS 700MG X 90,JAR,"2,705.00"
AMINO FUEL TABS 12G X 250,JAR,"6,800.00"
AMINO PEP FORTE SYR  100ML,BOTTLE,745
AMINO(WEIDER) CAPS 6000MG X 100,JAR,"4,650.00"
AMINODYN PLUS CAPS  X 30,FULL PACK,200
AMINODYN SYR  200ML,BOTTLE,150
AMINOGARD SYR 200ML X 1,BOTTLE,"2,100.00"
AMINOGARD TABS  X 100,FULL PACK,"2,225.00"
AMINOGLOBIN SYR  200ML,BOTTLE,"1,370.00"
AMINOMAX TABS 8000MG X 1,JAR,"16,500.00"
AMINOMIN SYR 200ML,BOTTLE,150
AMINOPEP FORTE LIQUID SYR 200ML X 1,BOTTLE,"1,430.00"
AMINOPEP SYRUP  200ML X 1,BOTTLE,"1,080.00"
AMINOPHILIN 100MG TABS  X 1000,JAR,"4,455.00"
AMINOPHILIN INJ 250MG X 100,FULL PACK,"4,000.00"
AMINOSTYL SYR 200ML,BOTTLE,400
AMINOSTYL X 10 TABS ,PACK,400
AMIODARONE (EXCEL)  INJ  X 5,FULL PACK,"7,600.00"
AMIODARONE (MULTICOY)  TABS 100MG X 28,FULL PACK,"2,250.00"
AMIODARONE TABS 200MG X 28,FULL PACK,"2,750.00"
AMIPLEX FORT X 30 CAPS ,PACK,870
AMITRIPTYLINE (MULTICOY)  TABS 25MG X 100,FULL PACK,535
AMITRIPTYLINE 25MG(AMMYVIL)  25MG X 1,BLISTER,130
AMITRIPTYLINE 25MG(CHEZ) TABS 25MG X 10,PACK,250
AMITRIPTYLINE TABS 25MG X 500 [INDIA] ,FULL PACK,"2,700.00"
AMITRYPTILLINE (TEVA)  TABS 10MG X 28,FULL PACK,900
AMITRYPTILLINE (TEVA)  TABS 25MG X 28,FULL PACK,800
AMITRYPTILLINE (TEVA)  TABS 50MG X 28,FULL PACK,"1,600.00"
AMLODIPINE (DE-SHARP) TABS 10MG X 28,FULL PACK,280
AMLODIPINE (EVERDESTINY)  TABS 5MG X 28,FULL PACK,295
AMLODIPINE (NEW TEVA)  TABS 10MG X 28,FULL PACK,500
AMLODIPINE (NEW TEVA)  TABS 5MG X 28,FULL PACK,400
AMLODIPINE (PHARMAMAX)  TABS 5MG X 28,FULL PACK,450
AMLODIPINE (POCCO)  TABS 10MG X 28,FULL PACK,485
AMLODIPINE (POCCO)  TABS 5MG X 28,FULL PACK,365
AMLODIPINE (TEVA)  TABS 10MG X 28,FULL PACK,450
AMLODIPINE (TEVA)  TABS 5MG X 28,FULL PACK,400
AMLODIPINE(CHEZ) TABS 10MG X 28,FULL PACK,290
AMLODIPINE(COVASC) TABS 10MG X 30,FULL PACK,800
AMLODIPINE(COVASC) TABS 5MG X 30,FULL PACK,750
AMLODIPINE(DE-SHARP) TABS 5MG X 28,FULL PACK,270
AMLODIPINE(EVERDESTINY) TABS 10MG X 28,FULL PACK,290
AMLODIPINE(LALID) TABS 10MG X 28,FULL PACK,320
AMLODIPINE(LIFEBACK) TABS 10MG X 28,FULL PACK,420
AMLODIPINE(NCI) TABS 10MG X 28,FULL PACK,250
AMLODIPINE(NCI) TABS 5MG X 28,FULL PACK,210
AMLODIPINE(RALPHONES) TABS 10MG X 28,PACK,220
AMLODIPNE TABS 10MG X 28 {PHARMA MAX} ,FULL PACK,480
AMLONG TABS 10MG X 30,FULL PACK,450
AMLONG TABS 5MG X 30,FULL PACK,485
AMLOSTAR TABS 10MG X 100,FULL PACK,"1,115.00"
AMLOSTAR TABS 5MG X 100,FULL PACK,"1,040.00"
AMLOVAR TABS 10MG X 10,PACK,745
AMLOVAR TABS 10MG X 100,FULL PACK,"3,800.00"
AMLOVAR TABS 5MG X 100,FULL PACK,"1,975.00"
AMLOVAR X10 TABS 5MG X 10,TABS,35
AMLOZAAR TABS  X 30,FULL PACK,"2,600.00"
AMODIAQUINE TABS 200MG X 1000,JAR,"2,800.00"
AMOKS TABS 1G,PACK,"1,060.00"
AMOKSIKLAV SUSP 457MG 100ML,BOTTLE,"1,450.00"
AMOKSIKLAV SYR  156MG 100ML,BOTTLE,"1,120.00"
AMOKSIKLAV SYR  312MG 100ML,BOTTLE,"1,480.00"
AMOKSIKLAV TABS 1G X 14,FULL PACK,"1,570.00"
AMOKSIKLAV TABS 375MG X 14,FULL PACK,"1,175.00"
AMOKSIKLAV TABS 625MG X 14,FULL PACK,"1,450.00"
AMONO MULTIVITAMIN CAPS X 30,PACK,350
AMOS WHITE  DAY AND NITE FACIAL CREAM,PACK,675
AMOS WHITE BLEACHING SOAP,PACK,285
AMOS WHITE CREAM TUBE X 1,FULL PACK,"4,885.00"
AMOS WHITE EXCLUSIVE SOAP 200G X 6,PACK,860
AMOS WHITE OIL 150ML X 1,BOTTLE,700
AMOS WHITE SHARLY,JAR,630
AMOS WHITE SUPER LOTION X 1,BOTTLE,"2,115.00"
AMOS WHITE SUPER SPOT REMOVING CREAM 25G,PACK,600
AMOS WHITE TUBE GEL 30G,TUBE,465
AMOS WHITE WHITENING SOAP 100G,PACK,380
AMOVIN INJ 1.2GM X 1,BOTTLE,"1,300.00"
AMOVIN SUSP 475MG 100ML,BOTTLE,800
AMOVIN SYR 228.5MG 100ML,BOTTLE,"1,175.00"
AMOVIN TABS 1G X 14,FULL PACK,"1,500.00"
AMOVIN TABS 625MG X 14,FULL PACK,"1,455.00"
AMOXICILLIN (MAYDON) CAPS ,PACK,"7,655.00"
AMOXICILLIN (MULTICOY)  CAPS 250MG X 100,FULL PACK,"1,400.00"
AMOXICILLIN (MULTICOY)  CAPS 500MG X 100,FULL PACK,"1,850.00"
AMOXICILLIN (MULTICOY)  INJ 500MG X 10,FULL PACK,"2,050.00"
AMOXICILLIN (TUYIL) SUSP 125MG 100ML,BOTTLE,250
AMOXICILLIN CLVUNATE INJ X 1,VIALS,820
AMOXICILLINE (AFRAB) SUSP 125MG/5ML 100ML,BOTTLE,295
AMOXICILLINE (MULTICOY) SUSP 125MG 100ML,BOTTLE,130
AMOXIGRAM SUSP 125ML/5ML,BOTTLE,290
AMOXIL (BE)  CAPS 500MG X 12,FULL PACK,590
AMOXIL (BECM)  CAPS 500MG X 100,FULL PACK,"5,400.00"
AMOXIL (BEECHAM)  CAPS 250MG X 100,FULL PACK,"2,932.00"
AMOXIL (BEECHAM) 125MG/5ML SUSP 100ML,BOTTLE,911
AMOXIL(BEECHAM)  500MG 1NJ,VIALS,300
AMOXYCILLIN/CLAV SUSP 100ML,BOTTLE,640
AMPICILIN/CLOXACILLIN 500G INJ(MULTI COY),VIALS,450
AMPICILLIN  250MG CAP X 100 (MULTI COY),FULL PACK,"1,300.00"
AMPICILLIN (MAYDON) CAPS 250MG X 100,FULL PACK,815
AMPICILLIN (MULTICOY)  SUSP 125/5ML,BOTTLE,130
AMPICILLIN (REICHLIN)  CAPS 500MG X 100,FULL PACK,490
AMPICILLIN (TUYIL)  SYR 100ML,BOTTLE,210
AMPICILLIN 500MG INJ (MULTI COY),VIALS,50
AMPICILLIN/CLOXACILLIN(MULTICOY) CAPS 500MG X 100,FULL PACK,"1,950.00"
AMPICLOX  (BEECHAM)  CAPS 500MG X 100,FULL PACK,"6,900.00"
AMPICLOX (BEECHAM)  DROPS 90MG/0.6ML,BOTTLE,"1,350.00"
AMPICLOX (BEECHAM) SUSP 250MG,BOTTLE,"1,326.00"
AMPICLOX (MULTICOY)  SUSP 100ML,BOTTLE,150
AMSTEL MALTA 35CL(PET) X 24,CAN,130
AMZAK TABS 5MG X 50,FULL PACK,550
ANABOVITTE SYR 200ML,BOTTLE,700
ANACIN TABS 300MG X 144,FULL PACK,"1,100.00"
ANAFRANIL TABS 25MG X 30,FULL PACK,"3,000.00"
ANAFRANIL TABS 25MG X 40,FULL PACK,"4,500.00"
ANAFRANIL TABS 25MG X 50,FULL PACK,"3,500.00"
ANAFRANIL TABS 25MG X 60,FULL PACK,"5,500.00"
ANALGIN INJ  X 100,FULL PACK,"10,000.00"
ANAMINT GEL X 1,TUBE,1
ANASTROZOLE (TEVA)  TABS 1MG X 28,FULL PACK,"3,200.00"
ANATE TABS 7-13 YRS,PACK,250
ANATE(1-6) YRS POWDER X 6,PACK,530
ANCOLOXIN (BIOMECOLOXIN) TABS  X 250,JAR,"3,810.00"
ANDON BPM (KD-595) X 1,PACK,"11,500.00"
ANDON X 1,PACK,"9,000.00"
ANDRE BRUT WINE 750ML,BOTTLE,"2,015.00"
ANDRE ROSE WINE 750ML,BOTTLE,"2,110.00"
ANDREWS LIVER REGULAR   X 25,FULL PACK,"2,040.00"
ANDREWS LIVER SALTS POWDER  X 50,FULL PACK,"2,680.00"
ANGEL ADULT DIAPER,PACK,"1,950.00"
ANGEL CHILDREN DIAPER,PACK,610
ANGEL WIPES X 100,PACK,510
ANGEL-C(VITAMIN C+ GLUCOSE 150MG) TABS X 20,PACK,85
ANGITEL TABS 40MG X 30,FULL PACK,"2,100.00"
ANGITEL TABS 80MG X 30,FULL PACK,"2,600.00"
ANGIZAGR H TABS  X 30,FULL PACK,"2,360.00"
ANGIZAR TABS 50MG X 30,FULL PACK,"1,850.00"
ANGOLA TOOTH BRUSH,PCS,95
ANIMAL PACK X 1,PACK,"30,000.00"
ANIMAL PUMP   X 30,FULL PACK,"20,000.00"
ANIMATE ALOE VERA FACIAL OIL,JAR,210
ANKLE SUPPORT L/S X 1,PACK,"3,300.00"
ANKLE SUPPORT L/S(SOFT)   X 1,PACK,"2,000.00"
ANKLE SUPPORT M/S X 1,PACK,"2,500.00"
ANKLE SUPPORT M/S(SOFT)   X 1,PACK,"2,000.00"
ANKLE SUPPORT XL(SOFT)   X 1,PACK,"2,000.00"
ANOROL TABS  X 100,FULL PACK,"3,000.00"
ANTACID(KINA) SUSP 200ML X 1,BOTTLE,550
ANTALGEX-T CAPS  X 20,FULL PACK,"1,650.00"
ANTALLERGE EYE DROPS  10ML,BOTTLE,705
ANTHISAN CREAM  25G,TUBE,240
ANTI -SNAKE INJ ,VIALS,"5,300.00"
ANTI BACTERIAL HANDWASH,BLOCK,395
ANTI D 1500IU (ALPHA PHARM) INJ 15MG,AMPOULES,"26,880.00"
ANTI D 1500IU (BIOFEM) RHOGAM INJ 15MG INJ 15MG,AMPOULES,"44,000.00"
ANTI D(RHOCLONE) INJ 300MCG X 1,AMPOULES,"31,000.00"
ANTI DIABETES TEA 2G X 20,PACK,910
ANTI MALARIA TEA 2G X 20,PACK,910
ANTI T.B KIT INJ X 1,PACK,"5,500.00"
ANTI T.B KIT TABS  X 168,FULL PACK,"6,800.00"
ANTI-PIMPLE SOAP 135G,PACK,645
ANTI-SPOT SOAP 80G,SOAP TABLET,245
ANTI-TUBERCLOSIS INJ X 1,PACK,"6,500.00"
ANTIDAR X 3 TABS ,PACK,70
ANTIHYPERTENSIVE TEA 2G X 20,PACK,925
ANTIMAL X 3 TABS ,PACK,95
ANTIRABIES INJ  1 DOSE,AMPOULES,"2,550.00"
ANUDOL SUPP  X 12,FULL PACK,"1,600.00"
ANUREX SOLUTION X 1,PACK,"14,000.00"
ANUS PUMP  SIZE  2,PCS,370
ANUS PUMP  SIZE 10,PCS,450
ANUS PUMP  SIZE 4,PCS,405
ANUS PUMP  SIZE 6,PCS,385
ANUS PUMP  SIZE 8,PCS,400
ANUSOL CREAM  25G,TUBE,"2,650.00"
ANUSOL HC SUPP  X 12,FULL PACK,"2,415.00"
