ProductName:,item,GenericName,Code,Department,DosageForm:,presentation,unit_quantity,Category,full_pack,Vendor
24 heures perfume,24 HEURES PERFUME 100ML,,6011720,Supermarket,,JAR,,,1,
24 HRS COCOA BUTTER LOTION,24 HRS COCOA BUTTER LOTION X 1,,6009022,Supermarket,,JAR,,,1,
24 PCS CUTLERY SET (SUMO PREMIUM),24 PCS CUTLERY SET (SUMO PREMIUM) [PACK] ,,1008094,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
26 PCS BLOCKS TOY,26 PCS BLOCKS TOY,,1008205,Supermarket,,PACK,,,1,DENCO INVESTMENT LTD
2SD ESSENCE SPRAY,2SD ESSENCE SPRAY X 1,,,Supermarket,,CAN,,,1,FRAGRANCE WORLD RESOURCES LTD
3 BALLERINA TEA,3 BALLERINA TEA X 1,,13780,Supermarket,,PACK,1,,1,
3 DAYS & NIGHT CREAM TUBE 30G,3 DAYS & NIGHT CREAM TUBE 30G,,15250,Supermarket,,TUBE,,,1,
3 PCS COOKWARE SET,3 PCS COOKWARE SET X 1,,6009741,Supermarket,,PACK,,,1,
3 PCS SET OF POT(KINELCO) KN-6007,3 PCS SET OF POT(KINELCO) KN-6007,,2.01107E+11,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
3 SET MULTI COLOUR BOWL (BIG),3 SET MULTI COLOUR BOWL (BIG),,6.92694E+12,Supermarket,,PACK,,,1,HALLIMA SALAM STORE
3 SET MULTI COLOUR BOWL (SMALL),3 SET MULTI COLOUR BOWL (SMALL),,6.92694E+12,Supermarket,,PACK,,,1,HALLIMA SALAM STORE
"3 SET OF CASSEROLE DISH(11'"" RECTANGLE)","3 SET OF CASSEROLE DISH(11'"" RECTANGLE)",,145887,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
3 STEPS LUNCH BOX (HUARONG),3 STEPS LUNCH BOX (HUARONG),,6.92392E+12,Supermarket,,PACK,,,1,HALLIMA SALAM STORE
30 DAYS  BEAUTY SECRET X 30,30 DAYS  BEAUTY SECRET X 30 TABS ,,49479000401,Pharmacy,TABLETS,JAR,,Multivitamin and amino acid preparations,1,
3-BETA CREAM,3-BETA CREAM X 1,,8.90606E+12,Pharmacy,,TUBE,,Anti-inflmatory and antipruritic drugs ,1,
3D WHITENING SOAP,3D WHITENING SOAP X 1,,,Supermarket,,SOAP TABLET,,,1,ARISE RESOURCES NIG. LTD
3G,3G CREAM 20G,,15359,Pharmacy,CREAM,TUBE,,ANTIFUNGAL PREPARATIONS,1,
3k cream,3K CREAM  20G X 1,,6010872,Pharmacy,,TUBE,,ANTIFUNGAL PREPARATIONS,1,
4 GOOD LOTION,4 GOOD LOTION X 1,,,Supermarket,,JAR,1,,1,
4 PCS DECAL MUG (HANA),4 PCS DECAL MUG (HANA),,6.90141E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 PCS DINNER PLATE DECAY (10.5) HANA,4 PCS DINNER PLATE DECAY (10.5) HANA,,6.90337E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 PCS DINNER SET,4 PCS DINNER SET,,1008118,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 PCS DINNER SET (FINE COLLECTION),4 PCS DINNER SET (FINE COLLECTION),,1008156,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 PCS EMBOSSED SALAD BOWL (HANA),4 PCS EMBOSSED SALAD BOWL (HANA),,6.90141E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 PCS FLORENCE FOOD FLASK,4 PCS FLORENCE FOOD FLASK,,1008175,Supermarket,,PACK,,,1,SAABCO NURU-ONIWO LTD
4 SET OF CEREMIC PLATE(AQUARIUM),4 SET OF CEREMIC PLATE(AQUARIUM),,6.92551E+12,Supermarket,,PACK,,,1,HALLIMA SALAM STORE
4 SET TEA CUP & SAUCER,4 SET TEA CUP & SAUCER,,6.90134E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
4 SLICE SANDWICH MAKER(CROWNSTAR),4 SLICE SANDWICH MAKER(CROWNSTAR),,1008855,Supermarket,,PACK,,,1,
4 YOU  ROLL ON,4 YOU  ROLL ON X 1,,12795,Supermarket,,BOTTLE,1,,1,
4 YOU FAHRENHENT PERFUME,4 YOU FAHRENHENT PERFUME 60ML,,12861,Supermarket,,BOTTLE,60ML,,1,
4 YOU PERFUME,4 YOU PERFUME 100ml,,12760,Supermarket,,BOTTLE,100ml,,1,
4 you perfume 50ml,4 YOU PERFUME 50ML,,14586,Supermarket,,BOTTLE,,,1,
45 PCS EDUCATION BLOCK,45 PCS EDUCATION BLOCK X 1,,6011356,Supermarket,,PACK,,,1,
47 PCS EDUCATIONAL BLOCK,47 PCS EDUCATIONAL BLOCK,,1008308,Supermarket,,PACK,,,1,DENCO INVESTMENT  LTD
4B TABLET SOAP,4B TABLET SOAP X 1,,6011198,Supermarket,,SOAP TABLET,,,1,
5 MINUTE PERMANENT HAIR COLOUR,5 MINUTE PERMANENT HAIR COLOUR X 1,,13466,Supermarket,,JAR,1,,1,
5 PCS GLAS WITH MUG (SMP),5 PCS GLAS WITH MUG (SMP),,4.63457E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
5 PCS OF CEREMIC TEA SET (SMP),5 PCS OF CEREMIC TEA SET (SMP),,465006,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
5 PCS WATER SET JUG AND GLASS(SMP),5 PCS WATER SET JUG AND GLASS(SMP),,6.94129E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
5 WAY CREAM S/S,5 WAYS CREAM  200ML,,13580,Supermarket,,JAR,200ML,,1,
5 WAYS CREAM,5 WAYS CREAM 476G,,12527,Supermarket,,JAR,476G,,1,
501 BRANDY DE JEREZ WINE 1L,501 BRANDY DE JEREZ WINE 1L,,8.41048E+12,Supermarket,,BOTTLE,,,1,
501 BRANDY WINE,501 BRANDY WINE 20CL,,8.41048E+12,Supermarket,,BOTTLE,20CL,,1,
501 WINE,501 WINE 750ML,,13260,Supermarket,,BOTTLE,750ML,,1,
511 PERFUME X 1,511 PERFUME X 1,,6009913,Supermarket,,JAR,,,1,
54 ON BROWSE ROLL ON,54 ON BROWSE ROLL ON X 1,,6009716,Supermarket,,BOTTLE,,,1,
54 on browse spray,54 ON BROWSE SPRAY X 1,,6010996,Supermarket,,SPRAY CAN,,,1,
55H+ LOTION (PARIS),55H+ LOTION (PARIS),,98864005057,Supermarket,,JAR,,,1,
55H+ LOTION (PARIS),55H+ LOTION (PARIS) [U.S.A] ,,98864005026,Supermarket,,BOTTLE,,,1,MEGADAF SUPER STORE
55HT SERUN,55HT SERUN 50ML,,17164,Supermarket,,BOTTLE,,,1,
5TH AVENUE PERFUME (ELIZABETH ARDEN )125ML,5TH AVENUE PERFUME (ELIZABETH ARDEN )125ML,,85805390600,Supermarket,,BOTTLE,,,1,
5WAYS BEAUTY CARE FADE CREAM 476G,5WAYS BEAUTY CARE FADE CREAM 476G,,73911205017,Supermarket,,JAR,,,1,
6 PCS DINNER SET ADALIA(SUMO),6 PCS DINNER SET ADALIA(SUMO),,4.89513E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS GLASSWARE(EXQUISTE ARTICLE SERIES),6 PCS GLASSWARE(EXQUISTE ARTICLE SERIES),,1008230,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS GLASSWARE(EXQUISTE ARTICLE SERIES),6 PCS GLASSWARE(EXQUISTE ARTICLE SERIES) (KAIDA)  [CHAIN]  [PACK] ,,6.92281E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS IMPERIAL GLASS CUP(OCEAN),6 PCS IMPERIAL GLASS CUP(OCEAN),,8.85022E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS SET OF POT(SUMO) S-7009,6 PCS SET OF POT(SUMO) S-7009,,4.89513E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS STAINLESS STEEL (HOPFFNER),6 PCS STAINLESS STEEL (HOPFFNER),,1008141,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 PCS TUMBLER CHARISMA (OCEAN),6 PCS TUMBLER CHARISMA (OCEAN),,8.85022E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
6 SETS TEA CUP & SAUCER (HANA 280CC),6 SETS TEA CUP & SAUCER (HANA 280CC),,6.90141E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
62 PCS EDUCATIONAL BLOCK,62 PCS EDUCATIONAL BLOCK,,1008212,Supermarket,,PACK,,,1,DENCO INVESTMENT LTD
7 DAYS & 7 NIGHT FACIAL CREAM,7 DAYS & 7 NIGHT FACIAL CREAM,,15774,Supermarket,,TIN,,,1,
7 DAYS BEAUTY SLIM,7 DAYS BEAUTY SLIM X 1,,,Supermarket,,JAR,1,,1,
7 IN 1 GAME,7 IN 1 GAME X 1,,6011358,Supermarket,,PACK,,,1,
7 KEYS MIXTURE x 24,7 KEYS MIXTURE X 24 SYR 200ML,,6.15211E+12,Pharmacy,SYRUP,BOTTLE,,Herbal Preparations,1,
7 KEYS ONANDO,7 KEYS ONANDO SYR 200ML,,1000796,Pharmacy,SYRUP,BOTTLE,,Herbal Preparations,1,
7 PCS CUTLERY SET (COFFRET DE BOUCHER),7 PCS CUTLERY SET (COFFRET DE BOUCHER),,1008134,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
7 PCS DRINKING SET(HANA),7 PCS DRINKING SET(HANA),,1.07098E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
7 PCS GLASSWARE GOLD,7 PCS GLASSWARE GOLD,,1008124,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
7 PIECE KNIFE SET (KINELCO),7 PIECE KNIFE SET (KINELCO),,6.2814E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
7 PIECE KNIFE SET WITH TIMBER (GIFT KING),7 PIECE KNIFE SET WITH TIMBER (GIFT KING),,1008132,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
75 PCS EDUCATIONAL BLOCK,75 PCS EDUCATIONAL BLOCK,,1008307,Supermarket,,PACK,,,1,DENCO INVESTMENT  LTD
77 RAPID CLAIRE 250ML X 1,77 RAPID CLAIRE 250ML X 1,,17269,Supermarket,,JAR,,,1,
77 RAPID CLAIRE NIGHT CREAM X 1,77 RAPID CLAIRE NIGHT CREAM X 1,,6010004,Supermarket,,PACK,,,1,
77 shirley cream,77 SHIRLEY CREAM X 1,,6009431,Supermarket,,TUBE,,,1,
78 PCS EDUCATIONAL BLOCK,78 PCS EDUCATIONAL BLOCK,,1008211,Supermarket,,PACK,,,1,DENCO INVESTMENT LTD
7-LAYERS PAD,7-LAYERS PAD X 1,,6009736,Supermarket,,PACK,,,1,
7UP DRINK  50CL,7UP DRINK  50CL,,6.034E+12,Supermarket,,JAR,,,1,
8 HOT DOGS,8 HOT DOGS 400G/184G,,16794,Supermarket,,TIN,,,1,
8 PCS  HOFFNER POT,8 PCS  HOFFNER POT,,1008305,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
8 PCS DINNER SET (CRANBERRY),8 PCS DINNER SET (CRANBERRY),,1008162,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
80 ALOE WIPES,80 ALOE WIPES X 1,,13572,Supermarket,,PACK,1,,1,
9 11 LEAVE-IN CONTITIONER,9 11 LEAVE-IN CONTITIONER X 1,,13298,Supermarket,,BOTTLE,1,,1,
9 TO 9 PERFUME,9 TO 9 PERFUME X 1,,13608,Supermarket,,BOTTLE,1,,1,
911 SPRItz  CONDITIONER,911 SPRITZ  CONDITIONER X 1,,48398004101,Supermarket,,BOTTLE,1,,1,
94 perfume,94 PERFUME X 1,,,Supermarket,SPRAY,JAR,1,,1,
a & shine honey,A & SHINE HONEY  1KG X 1,,6013369,Pharmacy,,JAR,1,,1,
A- ZED,A- ZED CAPS  X 20,,6044,Pharmacy,CAPSULES,BLISTER,10,,20,
A&D MEDICAL B.P MACHINE,A&D MEDICAL B.P MACHINE X 1,,,Pharmacy,,PACK,,,1,
A&D MEDICAL WRIST B.P MACHINE,A&D MEDICAL WRIST B.P MACHINE X 1,,,Pharmacy,,PACK,,,1,
A&D X 100,A&D X 100 CAPS ,,15441,Pharmacy,CAPSULES,JAR,,,1,
A.M./P.M. CREAM FADE,A.M./P.M. CREAM FADE X 1,,13309,Supermarket,,JAR,1,,1,
A.M./P.M. LOTION 500ML,A.M./P.M. LOTION 500ML X 1,,8.02788E+12,Supermarket,,BOTTLE,1,,1,
A.M./P.M. MOUTH WASH,A.M./P.M. MOUTH WASH 300ML,,12939,Supermarket,SOLUTION,BOTTLE,300ML,,1,
A.M.P.M PRICKLY HEAT POWDER 150G,A.M.P.M PRICKLY HEAT POWDER 150G,,14719,Supermarket,,JAR,,,1,
A.S.D.A MILK 340G,A.S.D.A MILK 340G X 1,,,Supermarket,,TIN,,,1,CASH SALES INVOICE
A3  CREAM PINK TRIPPLE ACTION FADE 500ML,A3  CREAM PINK TRIPPLE ACTION FADE 500ML,,8.02788E+12,Supermarket,,JAR,,,1,
A3 DEMOCARE SKIN LIGHTINING CREAM (CUP),A3 DEMOCARE SKIN LIGHTINING CREAM (CUP),,14111,Supermarket,,JAR,,,1,
A3 LEMON CREAM(PERFECT GLOW) CUP,A3 LEMON CREAM(PERFECT GLOW) CUP,,8.02788E+12,Supermarket,,JAR,,,1,
A3 SKIN LIGHTENING LOTION 500ML (PINK),A3 SKIN LIGHTENING LOTION 500ML (PINK),,16139,Supermarket,,PACK,,,1,
A3 SOAP(TRIPPLE ACTION),A3 SOAP(TRIPPLE ACTION) 100G,,1007369,Supermarket,,PACK,,,1,
A-3 TMA DERMOCARE LOTION,A-3 TMA DERMOCARE LOTION 500ML,,13421,Supermarket,,BOTTLE,500ML,,1,
A3 TRIPLE ACTION LOTION,A3 TRIPLE ACTION LOTION,,15426,Supermarket,,JAR,,,1,
ABAKTAL,ABAKTAL INJ 5ML,Pefloxacine,3.83896E+12,Pharmacy,INJECTION (SOLUTION),AMPOULES,,Quinolones,1,
ABAKTAL,ABAKTAL TABS 400MG,Pefloxacine,6152,Pharmacy,TABLETS,PACK,,Quinolones,1,
ABC & 123 FUN LEARN,ABC & 123 FUN LEARN,,1008309,Supermarket,,PACK,,,1,DENCO INVESTMENT  LTD
ABF-3,ABF-3 CREAM  20G,,1001599,Pharmacy,CREAM,TUBE,20g,ANTIFUNGAL PREPARATIONS,1,
Abidec,ABIDEC,,6013270,Pharmacy,,,,,1,
Abidec,ABIDEC DROPS  25ML,,1000111,Pharmacy,ORAL DROPS,BOTTLE,25ml,Multivitamin and amino acid preparations,1,
ABIDEC,ABIDEC SYR  150ML [UK] ,,5.01262E+12,Pharmacy,SYRUP,BOTTLE,150ml,Multivitamin and amino acid preparations,1,
ablaaj valour blue spray,ABLAAJ VALOUR BLUE SPRAY X 1,,6012458,Supermarket,,SPRAY BOTTLE,,,1,
AB-MULTI-CHLOR WATER PURIFICATION,AB-MULTI-CHLOR WATER PURIFICATION TABS 75MG X 100,,,Pharmacy,TABLETS,BLISTER,10,,100,ABJ PHARMACEUTICAL LIMITED
ABONIKI BALM,ABONIKI BALM  100MG,,6.156E+12,Pharmacy,,BOTTLE,,Topical antirheumatic drugs,1,
ABONIKI INHALER,ABONIKI INHALER X 1,,6012837,Pharmacy,,PACK,,,1,
ABOVE OIL SHEEN,ABOVE OIL SHEEN,,6.9181E+12,Supermarket,,CAN,,,1,
ABRAAJ VALOUR SPRAY,ABRAAJ VALOUR SPRAY 200ML,,6012428,Supermarket,,CAN,200ML,,1,
abraji oud perfume,ABRAJI OUD PERFUME X 1,,6012464,Supermarket,,PACK,,,1,
ABRO SCENT AIRFRESHNER,ABRO SCENT AIRFRESHNER 42G,,16920,Supermarket,,TIN,,,1,
ABSOLUTE CITRON WINE 1L,ABSOLUTE CITRON WINE 1L X 1,,6011769,Supermarket,,BOTTLE,,,1,
ABSOLUTE PERFUME,ABSOLUTE PERFUME X 1,,,Supermarket,,BOTTLE,1,,1,
ABSORBERS PREMIUM PAMPERS 11-12KG,ABSORBERS PREMIUM PAMPERS 11-12KG,,6.19201E+12,Supermarket,,PACK,,,1,
AC ACILLINN,AC ACILLINN SYR 5/60ML,,1007401,Pharmacy,SYRUP,BOTTLE,,,1,
AC CLASS BODY SPRAY(SENSATION),AC CLASS BODY SPRAY(SENSATION) 200ML,,8.69793E+12,Supermarket,SPRAY,SPRAY CAN,,,1,
ACANA APRICOT SOAP,ACANA APRICOT SOAP X 1,,6009770,Supermarket,,SOAP TABLET,,,1,
ACANA ROSE $ GLYCERING SOAP,ACANA ROSE $ GLYCERING SOAP,,15728,Supermarket,,PACK,,,1,
ACANA WHITENING  SCRUB SOAP 200G,ACANA WHITENING  SCRUB SOAP 200G,,15693,Supermarket,,PACK,,,1,
ACCENT PERFUME,ACCENT PERFUME 100ML,,6.29111E+12,Supermarket,SPRAY,PACK,,,1,
AC-CLOX,AC-CLOX SUSP 250MG/5ML 60ML,,,Pharmacy,SUSPENSION,BOTTLE,60ML,,1,
ACCOLATE,ACCOLATE  20MG TABS  X 20,Zafirlukast,6952,Pharmacy,TABLETS,BLISTER,20,Prophylactic drugs,20,
ACCU-CHECK BATTERY,ACCU-CHECK BATTERY X 1,,6010807,Pharmacy,,PACK,,,1,
ACCU-CHECK LANCET X 100,ACCU-CHECK LANCET X 100  ,,6012491,Pharmacy,,PACK,,,1,
ACCU-CHECK LANCET,ACCU-CHECK LANCET X 200,,6012271,Pharmacy,,PACK,,,1,
ACCU-CHEK (ACTIVE MACHINE),ACCU-CHEK (ACTIVE MACHINE)  ,,7564495,Pharmacy,,PACK,1,,1,
ACCU-CHEK (ACTIVE STRIP),ACCU-CHEK (ACTIVE STRIP)  ,,4.01563E+12,Pharmacy,,PACK,,,1,
accu-chek (instant machine),ACCU-CHEK (INSTANT MACHINE)   X 1,,,Pharmacy,,PACK,1,,1,
accu-chek (instant strip),ACCU-CHEK (INSTANT STRIP)   X 1,,,Pharmacy,,PACK,1,,1,
ACE HAIR FOOD CREAM 170G,ACE HAIR FOOD CREAM 170G,,17131,Supermarket,,CAN,,,1,
ACECLOFENAC (MULTICOY),ACECLOFENAC (MULTICOY) TABS  X 100,Aceclofenac,1008695,Pharmacy,TABLETS,BLISTER,10,Non-steroidal anti-inflammatory drugs (NSAIDs),100,
acel plus,ACEL PLUS TABS 100/325MG X 10,,8.90604E+12,Pharmacy,TABLETS,PACK,10,Non-steroidal anti-inflammatory drugs (NSAIDs),10,
ACEL,ACEL TABS 100MG X 10,Aceclofenac,8.90604E+12,Pharmacy,TABLETS,PACK,10,Non-steroidal anti-inflammatory drugs (NSAIDs),10,
ACEPOL,ACEPOL SUSP 100ML X 1,,9919,Pharmacy,SUSPENSION,BOTTLE,1,,1,
ACEPRIL,ACEPRIL  5MG TAB X 30,,7860,Pharmacy,TABLETS,BLISTER,10,,30,
ACEPRIL,ACEPRIL 10MG TAB X 30,,7861,Pharmacy,TABLETS,BLISTER,10,,30,
ACER X 10,ACER  500MG TAB X 10,,10196,Pharmacy,TABLETS,PACK,1,,1,
acerid,ACERID TABS 20MG X 10,Rabeprazole,6012401,Pharmacy,TABLETS,PACK,,ULCER HEALING DRUGS,1,
ACETAZOLAMIDE,ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 30,Acetazolamide,8.90604E+12,Pharmacy,TABLETS,BLISTER,10,Carbonic anhydrase inhibitors,30,
acetazolamide,ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 500,Acetazolamide,15055,Pharmacy,TABLETS,PCS,1,Carbonic anhydrase inhibitors,500,
ACICLOVIR(MULTICOY),ACICLOVIR(MULTICOY) CREAM  10G,Aciclovir,1008931,Pharmacy,CREAM,TUBE,10G,Antiviral preparations,1,
ACIGUARD,ACIGUARD SUSP  100ML,"Alumina, Magnesia, and Simethicone",7497,Pharmacy,SUSPENSION,BOTTLE,100ML,ANTACIDS,1,
ACIGUARD,ACIGUARD SUSP 200ML,"Alumina, Magnesia, and Simethicone",9022,Pharmacy,SUSPENSION,BOTTLE,1,ANTACIDS,1,
ACILOC,ACILOC 150MG TAB X 100,Ranitidine,8.90115E+12,Pharmacy,TABLETS,BLISTER,10,ULCER HEALING DRUGS,100,
ACILOC,ACILOC 300MG TAB  X 20,Ranitidine,7092,Pharmacy,TABLETS,BLISTER,10,ULCER HEALING DRUGS,20,
ACINIL,ACINIL TABS 20MG X 20,,6010915,Pharmacy,TABLETS,BLISTER,10,,20,
